id,name,position,team,now_cost,expected_points,total_points,minutes
381,Mohamed Salah,MID,Liverpool,143,5.93,6,90
382,Florian Wirtz,MID,Liverpool,81,2.6,2,82
384,Cody Gakpo,MID,Liverpool,75,4.83,2,60
385,Federico Chiesa,MID,Liverpool,64,0.51,1,29
386,Alexis Mac Allister,MID,Liverpool,63,3.14,1,28
387,Dominik Szoboszlai,MID,Liverpool,65,4.32,10,90
388,Curtis Jones,MID,Liverpool,54,0.82,2,69
389,Harvey Elliott,MID,Aston Villa,54,0.79,0,0
390,Ryan Gravenberch,MID,Liverpool,57,3.1,0,0
391,Ben Gannon-Doak,MID,Bournemouth,49,0.73,0,0
392,Endo Wataru,MID,Liverpool,49,0.55,0,0
393,Stefan Bajčetić Maquieira,MID,Liverpool,44,0.01,0,0
396,Trey Nyoni,MID,Liverpool,43,0.01,0,0
398,Jayden Danns,FWD,Liverpool,44,0.02,0,0
400,Stefan Ortega Moreno,GK,Man City,48,0.0,0,0
401,Marcus Bettinelli,GK,Man City,40,0.0,0,0
402,Rayan Aït-Nouri,DEF,Man City,58,0.66,0,0
403,Joško Gvardiol,DEF,Man City,59,3.77,2,90
405,Nathan Aké,DEF,Man City,54,1.13,0,0
406,Abdukodir Khusanov,DEF,Man City,54,0.0,0,0
407,Matheus Nunes,DEF,Man City,53,2.97,2,90
408,Rúben dos Santos Gato Alves Dias,DEF,Man City,55,3.21,4,90
409,John Stones,DEF,Man City,55,1.75,2,60
410,Rico Lewis,DEF,Man City,49,1.19,0,0
411,Nico O'Reilly,DEF,Man City,49,3.64,1,29
413,Omar Marmoush,MID,Man City,83,1.58,1,6
414,Phil Foden,MID,Man City,81,4.44,1,90
415,Sávio Moreira de Oliveira,MID,Man City,69,2.35,1,83
416,Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,63,1.27,2,60
417,Rayan Cherki,MID,Man City,63,1.35,1,14
418,Jérémy Doku,MID,Man City,66,2.81,1,29
419,Jack Grealish,MID,Everton,69,3.92,1,90
421,Rodrigo 'Rodri' Hernandez Cascante,MID,Man City,63,0.0,0,0
422,Mateo Kovačić,MID,Man City,59,0.86,0,0
423,Nico González Iglesias,MID,Man City,59,2.93,0,29
424,Oscar Bobb,MID,Man City,54,1.12,2,60
426,James McAtee,MID,Nott'm Forest,52,1.05,0,0
427,Tijjani Reijnders,MID,Man City,57,3.65,1,75
429,Kalvin Phillips,MID,Man City,48,0.01,0,0
430,Erling Haaland,FWD,Man City,147,6.19,2,90
431,Altay Bayındır,GK,Man Utd,49,0.03,0,0
434,Tom Heaton,GK,Man Utd,40,0.0,0,0
435,Dermot Mee,GK,Man Utd,40,0.0,0,0
436,Matthijs de Ligt,DEF,Man Utd,50,3.48,1,90
437,Lisandro Martínez,DEF,Man Utd,48,0.0,0,0
438,Noussair Mazraoui,DEF,Man Utd,49,0.0,0,0
439,Diego León Blanco,DEF,Man Utd,43,0.24,0,0
440,Diogo Dalot Teixeira,DEF,Man Utd,44,2.72,1,90
441,Patrick Dorgu,DEF,Man Utd,44,2.27,-1,20
442,Harry Maguire,DEF,Man Utd,44,2.52,0,0
443,Luke Shaw,DEF,Man Utd,45,2.98,9,64
444,Leny Yoro,DEF,Man Utd,45,2.85,1,90
446,Tyler Fredricson,DEF,Man Utd,39,0.04,0,0
447,Ayden Heaven,DEF,Man Utd,39,0.07,3,25
448,Tyrell Malacia,DEF,Man Utd,39,0.02,0,0
449,Bruno Borges Fernandes,MID,Man Utd,89,5.94,4,90
450,Matheus Santos Carneiro da Cunha,MID,Man Utd,79,5.02,8,81
452,Amad Diallo,MID,Man Utd,63,3.36,3,69
453,Alejandro Garnacho Ferreyra,MID,Chelsea,64,3.32,6,57
455,Mason Mount,MID,Man Utd,59,0.68,0,0
456,Jadon Sancho,MID,Aston Villa,59,0.4,1,44
457,Carlos Henrique Casimiro,MID,Man Utd,55,2.56,15,69
458,Kobbie Mainoo,MID,Man Utd,48,0.72,1,20
459,Manuel Ugarte Ribeiro,MID,Man Utd,48,0.6,1,9
461,Jayce Fitzgerald,MID,Man Utd,44,0.01,0,0
462,Jack Fletcher,MID,Man Utd,44,0.02,0,0
463,Sékou Koné,MID,Man Utd,44,0.02,0,0
466,Joshua Zirkzee,FWD,Man Utd,58,0.57,1,8
467,Chido Obi,FWD,Man Utd,43,0.15,0,0
469,Nick Pope,GK,Newcastle,52,3.95,3,90
470,Martin Dúbravka,GK,Burnley,40,3.21,2,90
471,Mark Gillespie,GK,Newcastle,40,0.0,0,0
473,Lewis Hall,DEF,Newcastle,53,0.0,0,0
474,Fabian Schär,DEF,Newcastle,54,2.44,1,29
475,Sven Botman,DEF,Newcastle,49,3.75,2,60
476,Dan Burn,DEF,Newcastle,51,4.21,2,90
477,Tino Livramento,DEF,Newcastle,50,0.0,0,0
478,Kieran Trippier,DEF,Newcastle,50,4.26,2,90
479,Emil Krafth,DEF,Newcastle,44,0.33,0,0
480,Jamaal Lascelles,DEF,Newcastle,44,0.29,0,0
481,Alex Murphy,DEF,Newcastle,39,0.01,0,0
482,Harrison Ashby,DEF,Newcastle,39,0.05,0,0
483,Miodrag Pivaš,DEF,Newcastle,39,0.0,0,0
485,Anthony Gordon,MID,Newcastle,75,4.7,2,75
486,Anthony Elanga,MID,Newcastle,68,2.27,1,14
487,Harvey Barnes,MID,Newcastle,64,2.25,1,29
488,Bruno Guimarães Rodriguez Moura,MID,Newcastle,65,3.77,10,90
489,Jacob Murphy,MID,Newcastle,62,2.8,8,60
490,Joelinton Cássio Apolinário de Lira,MID,Newcastle,59,2.83,4,90
491,Sandro Tonali,MID,Newcastle,54,3.49,1,29
493,Sean Longstaff,MID,Leeds,49,3.66,6,90
494,Joe Willock,MID,Newcastle,50,0.41,0,0
497,Lewis Miley,MID,Newcastle,44,0.65,2,60
499,Alexander Isak,FWD,Liverpool,105,2.72,0,0
500,William Osula,FWD,Newcastle,55,0.64,4,4
501,Sean Neave,FWD,Newcastle,44,0.02,0,0
502,Matz Sels,GK,Nott'm Forest,48,2.75,2,90
505,Nikola Milenković,DEF,Nott'm Forest,53,3.04,1,90
506,Murillo Costa dos Santos,DEF,Nott'm Forest,53,3.19,1,90
507,Ola Aina,DEF,Nott'm Forest,48,0.0,0,0
508,Neco Williams,DEF,Nott'm Forest,48,2.59,1,90
510,Jair Paula da Cunha Filho,DEF,Nott'm Forest,43,0.38,0,0
511,Felipe Rodrigues da Silva,DEF,Nott'm Forest,44,0.98,0,0
513,Zach Abbott,DEF,Nott'm Forest,39,0.01,0,0
514,Willy Boly,DEF,Nott'm Forest,39,0.21,0,0
515,Morgan Gibbs-White,MID,Nott'm Forest,73,3.17,2,88
516,Callum Hudson-Odoi,MID,Nott'm Forest,59,1.25,1,45
517,Elliot Anderson,MID,Nott'm Forest,53,4.02,2,90
519,Nicolás Domínguez,MID,Nott'm Forest,50,1.16,1,7
521,Ibrahim Sangaré,MID,Nott'm Forest,49,0.78,0,0
522,Ryan Yates,MID,Nott'm Forest,48,0.35,1,45
525,Chris Wood,FWD,Nott'm Forest,72,1.61,0,0
526,Igor Jesus Maciel da Cruz,FWD,Nott'm Forest,58,2.58,1,45
527,Taiwo Awoniyi,FWD,Nott'm Forest,52,0.16,1,45
528,Anthony Patterson,GK,Sunderland,43,0.02,0,0
529,Simon Moore,GK,Sunderland,40,0.0,0,0
530,Blondy Nna Noukeu,GK,Sunderland,40,0.0,0,0
531,Daniel Ballard,DEF,Sunderland,46,2.64,2,90
532,Trai Hume,DEF,Sunderland,45,1.99,2,90
533,Aji Alese,DEF,Sunderland,40,0.14,0,0
534,Joe Anderson,DEF,Sunderland,39,0.02,0,0
535,Dennis Cirkin,DEF,Sunderland,40,0.0,0,0
536,Leo Fuhr Hjelde,DEF,Sunderland,40,0.0,0,0
538,Zak Johnson,DEF,Sunderland,39,0.06,0,0
539,Luke O'Nien,DEF,Sunderland,40,0.22,0,0
540,Timothée Pembélé,DEF,Sunderland,39,0.02,0,0
541,Reinildo Mandava,DEF,Sunderland,40,1.78,2,90
543,Simon Adingra,MID,Sunderland,52,1.25,0,0
544,Habib Diarra,MID,Sunderland,54,0.0,0,0
547,Enzo Le Fée,MID,Sunderland,49,3.14,1,74
548,Romaine Mundle,MID,Sunderland,49,0.0,0,0
549,Dan Neil,MID,Sunderland,48,0.33,0,0
550,Ian Poveda-Ocampo,MID,Sunderland,48,0.0,0,0
551,Chris Rigg,MID,Sunderland,48,2.1,1,15
552,Noah Sadiki,MID,Sunderland,50,2.39,2,90
553,Chemsdine Talbi,MID,Sunderland,50,2.25,8,25
554,Abdoullah Ba,MID,Sunderland,44,0.05,0,0
557,Harrison Jones,MID,Sunderland,44,0.07,0,0
558,Jay Matete,MID,Sunderland,44,0.05,0,0
560,Wilson Isidor,FWD,Sunderland,56,2.53,7,74
561,Eliezer Mayenda Dossou,FWD,Sunderland,55,0.67,0,0
562,Ahmed Abdullahi,FWD,Sunderland,44,0.03,0,0
565,Guglielmo Vicario,GK,Spurs,51,3.26,6,90
566,Brandon Austin,GK,Spurs,39,0.0,0,0
567,Antonín Kinský,GK,Spurs,39,0.03,0,0
568,Pedro Porro Sauceda,DEF,Spurs,56,3.71,11,90
569,Cristian Romero,DEF,Spurs,51,0.0,0,0
570,Kevin Danso,DEF,Spurs,43,3.32,9,90
571,Ben Davies,DEF,Spurs,43,0.31,0,0
572,Radu Drăgușin,DEF,Spurs,45,0.06,0,0
573,Djed Spence,DEF,Spurs,45,2.81,6,90
574,Destiny Udogie,DEF,Spurs,44,0.0,0,0
575,Micky van de Ven,DEF,Spurs,47,3.47,23,90
577,Takai Kōta,DEF,Spurs,40,0.02,0,0
580,Brennan Johnson,MID,Spurs,68,1.09,3,90
581,James Maddison,MID,Spurs,69,0.0,0,0
582,Mohammed Kudus,MID,Spurs,68,3.69,3,77
583,Dejan Kulusevski,MID,Spurs,64,0.0,0,0
584,Mathys Tel,MID,Spurs,63,3.09,1,1
